R2,MAE,RMSE,MAPE,n,model,target,horizon,infra,n_train
0.5945,1.5864,2.342,65.97,16725,XGBoost,Measured PM1.0,33min,Brick Single Story,119246
0.3596,1.6807,3.5858,59.94,16380,XGBoost,Measured PM1.0,33min,Container No Insulation,119246
0.551,1.4873,2.2808,59.28,7675,XGBoost,Measured PM1.0,33min,Container With Insulation,119246
0.5168,1.421,2.1599,76.58,21150,XGBoost,Measured PM1.0,33min,Mobile/Prefab,119246
0.4305,1.8705,2.9304,75.01,82872,XGBoost,Measured PM1.0,1h,ALL,119237
0.3693,2.5266,3.3651,87.57,8046,XGBoost,Measured PM1.0,1h,Brick First Floor,119237
0.4297,2.1539,3.1022,82.12,12976,XGBoost,Measured PM1.0,1h,Brick Second Floor,119237
0.4961,1.8295,2.6121,70.82,16701,XGBoost,Measured PM1.0,1h,Brick Single Story,119237
0.3608,1.7317,3.5839,60.64,16356,XGBoost,Measured PM1.0,1h,Container No Insulation,119237
0.4513,1.6451,2.5226,67.47,7663,XGBoost,Measured PM1.0,1h,Container With Insulation,119237
0.3944,1.6683,2.4116,86.79,21130,XGBoost,Measured PM1.0,1h,Mobile/Prefab,119237
-0.019,2.8091,3.9257,116.26,82464,XGBoost,Measured PM1.0,3h,ALL,119207
-0.3251,3.9302,4.8976,139.92,7976,XGBoost,Measured PM1.0,3h,Brick First Floor,119207
-0.1576,3.4413,4.4228,143.79,12906,XGBoost,Measured PM1.0,3h,Brick Second Floor,119207
-0.1191,3.049,3.8983,125.48,16621,XGBoost,Measured PM1.0,3h,Brick Single Story,119207
0.112,2.3917,4.2315,87.05,16276,XGBoost,Measured PM1.0,3h,Container No Insulation,119207
0.142,2.2463,3.1595,89.71,7623,XGBoost,Measured PM1.0,3h,Container With Insulation,119207
-0.0212,2.3339,3.135,116.83,21062,XGBoost,Measured PM1.0,3h,Mobile/Prefab,119207
-0.3859,3.5791,4.5909,151.56,81771,XGBoost,Measured PM1.0,6h,ALL,119172
-0.4309,4.2488,5.1224,154.38,7857,XGBoost,Measured PM1.0,6h,Brick First Floor,119172
-0.52,4.2682,5.0844,185.22,12787,XGBoost,Measured PM1.0,6h,Brick Second Floor,119172
-0.7559,4.106,4.8834,179.02,16485,XGBoost,Measured PM1.0,6h,Brick Single Story,119172
-0.0745,2.9479,4.672,109.63,16140,XGBoost,Measured PM1.0,6h,Container No Insulation,119172
-0.2425,2.955,3.8133,124.63,7555,XGBoost,Measured PM1.0,6h,Container With Insulation,119172
-0.638,3.204,3.9779,152.03,20947,XGBoost,Measured PM1.0,6h,Mobile/Prefab,119172
0.613,2.0261,3.6693,64.45,83074,XGBoost,Measured PM2.5,11min,ALL,119252
0.7763,2.0112,3.0894,53.24,8081,XGBoost,Measured PM2.5,11min,Brick First Floor,119252
0.3628,2.8714,5.3702,84.67,13011,XGBoost,Measured PM2.5,11min,Brick Second Floor,119252
0.696,1.9019,3.0722,58.47,16741,XGBoost,Measured PM2.5,11min,Brick Single Story,119252
0.5471,2.0623,4.2116,58.34,16396,XGBoost,Measured PM2.5,11min,Container No Insulation,119252
0.6691,1.9208,3.1097,60.15,7683,XGBoost,Measured PM2.5,11min,Container With Insulation,119252
0.7068,1.6206,2.5995,67.88,21162,XGBoost,Measured PM2.5,11min,Mobile/Prefab,119252
0.4746,2.5809,4.2738,82.75,82994,XGBoost,Measured PM2.5,33min,ALL,119246
0.5736,3.0703,4.2686,87.5,8067,XGBoost,Measured PM2.5,33min,Brick First Floor,119246
0.2329,3.5803,5.8949,112.86,12997,XGBoost,Measured PM2.5,33min,Brick Second Floor,119246
0.5715,2.4644,3.649,76.58,16725,XGBoost,Measured PM2.5,33min,Brick Single Story,119246
0.4236,2.4306,4.7482,67.59,16380,XGBoost,Measured PM2.5,33min,Container No Insulation,119246
0.5141,2.277,3.7493,67.35,7675,XGBoost,Measured PM2.5,33min,Container With Insulation,119246
0.5534,2.0988,3.2063,85.47,21150,XGBoost,Measured PM2.5,33min,Mobile/Prefab,119246
0.3269,3.2868,4.8378,113.27,82872,XGBoost,Measured PM2.5,1h,ALL,119237
0.3468,4.0109,5.2892,120.65,8046,XGBoost,Measured PM2.5,1h,Brick First Floor,119237
0.076,4.5016,6.4741,153.0,12976,XGBoost,Measured PM2.5,1h,Brick Second Floor,119237
0.3934,3.1998,4.344,107.45,16701,XGBoost,Measured PM2.5,1h,Brick Single Story,119237
0.38,2.8446,4.9254,86.77,16356,XGBoost,Measured PM2.5,1h,Container No Insulation,119237
0.4389,2.7823,4.0303,87.42,7663,XGBoost,Measured PM2.5,1h,Container With Insulation,119237
0.31,2.8589,3.9767,123.11,21130,XGBoost,Measured PM2.5,1h,Mobile/Prefab,119237
-0.1369,4.6339,6.2958,160.18,82464,XGBoost,Measured PM2.5,3h,ALL,119207
-0.3059,5.981,7.5099,185.92,7976,XGBoost,Measured PM2.5,3h,Brick First Floor,119207
-0.4785,6.2837,8.1898,208.6,12906,XGBoost,Measured PM2.5,3h,Brick Second Floor,119207
-0.2333,4.9357,6.2033,167.6,16621,XGBoost,Measured PM2.5,3h,Brick Single Story,119207
0.1159,3.6682,5.8919,110.12,16276,XGBoost,Measured PM2.5,3h,Container No Insulation,119207
0.0125,4.0121,5.3543,131.13,7623,XGBoost,Measured PM2.5,3h,Container With Insulation,119207
-0.0956,3.8459,5.0163,166.95,21062,XGBoost,Measured PM2.5,3h,Mobile/Prefab,119207
-0.5353,5.7179,7.3375,204.57,81771,XGBoost,Measured PM2.5,6h,ALL,119172
-0.5355,6.7841,8.1952,218.32,7857,XGBoost,Measured PM2.5,6h,Brick First Floor,119172
-0.8054,7.3671,9.0821,254.41,12787,XGBoost,Measured PM2.5,6h,Brick Second Floor,119172
-1.0744,6.7609,8.0488,243.64,16485,XGBoost,Measured PM2.5,6h,Brick Single Story,119172
-0.0816,4.3482,6.541,135.03,16140,XGBoost,Measured PM2.5,6h,Container No Insulation,119172
-0.3769,4.9486,6.3415,168.37,7555,XGBoost,Measured PM2.5,6h,Container With Insulation,119172
-0.5691,4.8232,6.0146,207.82,20947,XGBoost,Measured PM2.5,6h,Mobile/Prefab,119172
0.5357,2.4002,4.389,72.73,83074,XGBoost,Measured PM10,11min,ALL,119252
0.7405,2.3005,3.5503,57.71,8081,XGBoost,Measured PM10,11min,Brick First Floor,119252
-0.0423,4.7106,7.9154,138.41,13011,XGBoost,Measured PM10,11min,Brick Second Floor,119252
0.739,1.8524,3.0131,53.34,16741,XGBoost,Measured PM10,11min,Brick Single Story,119252
0.62,2.2109,4.213,60.08,16396,XGBoost,Measured PM10,11min,Container No Insulation,119252
0.6713,2.0072,3.3436,60.72,7683,XGBoost,Measured PM10,11min,Container With Insulation,119252
0.7311,1.7403,2.7006,66.12,21162,XGBoost,Measured PM10,11min,Mobile/Prefab,119252
0.4079,2.6788,4.9534,76.08,82994,XGBoost,Measured PM10,33min,ALL,119246
0.537,3.0007,4.7459,75.58,8067,XGBoost,Measured PM10,33min,Brick First Floor,119246
-0.2203,5.015,8.5688,140.7,12997,XGBoost,Measured PM10,33min,Brick Second Floor,119246
0.6392,2.2192,3.5443,61.06,16725,XGBoost,Measured PM10,33min,Brick Single Story,119246
0.5248,2.3422,4.7068,57.57,16380,XGBoost,Measured PM10,33min,Container No Insulation,119246
0.5599,2.2255,3.8398,59.63,7675,XGBoost,Measured PM10,33min,Container With Insulation,119246
0.6262,1.909,3.1823,67.24,21150,XGBoost,Measured PM10,33min,Mobile/Prefab,119246
0.1618,3.9624,5.8936,132.26,82872,XGBoost,Measured PM10,1h,ALL,119237
0.2003,4.8159,6.2443,146.23,8046,XGBoost,Measured PM10,1h,Brick First Floor,119237
-0.2597,6.1248,8.712,193.19,12976,XGBoost,Measured PM10,1h,Brick Second Floor,119237
0.2397,3.8154,5.148,124.5,16701,XGBoost,Measured PM10,1h,Brick Single Story,119237
0.3137,3.2215,5.6575,97.37,16356,XGBoost,Measured PM10,1h,Container No Insulation,119237
0.2867,3.4137,4.89,106.13,7663,XGBoost,Measured PM10,1h,Container With Insulation,119237
0.2441,3.1981,4.5142,132.98,21130,XGBoost,Measured PM10,1h,Mobile/Prefab,119237
-0.1699,5.0957,6.9683,173.82,82464,XGBoost,Measured PM10,3h,ALL,119207
-0.3568,6.7536,8.1672,218.75,7976,XGBoost,Measured PM10,3h,Brick First Floor,119207
-0.6374,7.7188,9.9139,248.81,12906,XGBoost,Measured PM10,3h,Brick Second Floor,119207
-0.3004,5.4951,6.7432,187.29,16621,XGBoost,Measured PM10,3h,Brick Single Story,119207
0.1093,4.0191,6.4557,118.22,16276,XGBoost,Measured PM10,3h,Container No Insulation,119207
0.1308,3.8803,5.406,124.51,7623,XGBoost,Measured PM10,3h,Container With Insulation,119207
0.0382,3.8172,5.0956,160.49,21062,XGBoost,Measured PM10,3h,Mobile/Prefab,119207
-0.5912,6.2365,8.1508,222.0,81771,XGBoost,Measured PM10,6h,ALL,119172
-0.6888,7.4903,9.1698,247.93,7857,XGBoost,Measured PM10,6h,Brick First Floor,119172
-0.8118,8.4086,10.4666,280.39,12787,XGBoost,Measured PM10,6h,Brick Second Floor,119172
-1.3334,7.6215,9.0371,275.38,16485,XGBoost,Measured PM10,6h,Brick Single Story,119172
-0.0407,4.4905,7.0033,138.13,16140,XGBoost,Measured PM10,6h,Container No Insulation,119172
-0.3381,5.0777,6.7278,172.3,7555,XGBoost,Measured PM10,6h,Container With Insulation,119172
-0.5695,5.1137,6.5223,219.45,20947,XGBoost,Measured PM10,6h,Mobile/Prefab,119172
0.8978,30.0463,75.909,4.73,72002,RandomForest,Measured CO2,11min,ALL,119171
0.7191,29.9353,68.1927,5.81,8079,RandomForest,Measured CO2,11min,Brick First Floor,119171
0.8808,29.5142,80.0539,4.46,13011,RandomForest,Measured CO2,11min,Brick Second Floor,119171
0.8922,24.4147,56.5858,4.33,16740,RandomForest,Measured CO2,11min,Brick Single Story,119171
0.9288,37.9266,93.3133,4.85,16393,RandomForest,Measured CO2,11min,Container No Insulation,119171
0.8299,32.4325,92.3858,4.79,4917,RandomForest,Measured CO2,11min,Container With Insulation,119171
0.7844,27.0279,65.7651,4.69,12862,RandomForest,Measured CO2,11min,Mobile/Prefab,119171
0.6904,54.4694,132.1003,8.82,71914,RandomForest,Measured CO2,33min,ALL,119154
0.2574,54.1961,110.82,11.15,8061,RandomForest,Measured CO2,33min,Brick First Floor,119154
0.6432,52.0595,138.555,7.83,12997,RandomForest,Measured CO2,33min,Brick Second Floor,119154
0.6441,44.8317,102.8727,7.91,16722,RandomForest,Measured CO2,33min,Brick Single Story,119154
0.755,71.2963,173.0288,9.5,16371,RandomForest,Measured CO2,33min,Container No Insulation,119154
0.5446,64.4566,151.1386,10.35,4911,RandomForest,Measured CO2,33min,Container With Insulation,119154
0.5065,44.367,99.465,8.06,12852,RandomForest,Measured CO2,33min,Mobile/Prefab,119154
0.5015,76.5308,167.6502,13.27,71781,RandomForest,Measured CO2,1h,ALL,119129
-0.128,76.3275,136.696,16.77,8034,RandomForest,Measured CO2,1h,Brick First Floor,119129
0.472,67.8105,168.6751,10.68,12976,RandomForest,Measured CO2,1h,Brick Second Floor,119129
0.4539,60.5981,127.5085,11.27,16695,RandomForest,Measured CO2,1h,Brick Single Story,119129
0.5727,108.6331,228.5108,16.36,16338,RandomForest,Measured CO2,1h,Container No Insulation,119129
0.223,90.6219,197.5579,14.92,4902,RandomForest,Measured CO2,1h,Container With Insulation,119129
0.2918,59.954,119.184,11.74,12836,RandomForest,Measured CO2,1h,Mobile/Prefab,119129
0.1585,113.3976,218.1701,21.66,71347,RandomForest,Measured CO2,3h,ALL,119059
-1.069,114.2828,185.6432,26.38,7954,RandomForest,Measured CO2,3h,Brick First Floor,119059
0.2562,91.9812,200.6973,15.69,12906,RandomForest,Measured CO2,3h,Brick Second Floor,119059
0.2188,83.4873,152.7532,16.5,16605,RandomForest,Measured CO2,3h,Brick Single Story,119059
0.1992,174.74,313.3729,31.71,16228,RandomForest,Measured CO2,3h,Container No Insulation,119059
-0.245,132.1628,250.7065,23.03,4872,RandomForest,Measured CO2,3h,Container With Insulation,119059
-0.2271,88.2944,156.9126,18.17,12782,RandomForest,Measured CO2,3h,Mobile/Prefab,119059
0.0515,135.8378,232.2136,26.26,70609,RandomForest,Measured CO2,6h,ALL,118970
-0.7988,119.7493,173.7921,27.15,7818,RandomForest,Measured CO2,6h,Brick First Floor,118970
0.0824,115.6848,223.8912,20.52,12787,RandomForest,Measured CO2,6h,Brick Second Floor,118970
-0.0385,103.7548,174.5286,20.98,16452,RandomForest,Measured CO2,6h,Brick Single Story,118970
0.1249,210.7396,329.07,38.71,16041,RandomForest,Measured CO2,6h,Container No Insulation,118970
-0.371,153.9934,264.186,27.79,4821,RandomForest,Measured CO2,6h,Container With Insulation,118970
-0.3921,106.0728,167.4233,22.01,12690,RandomForest,Measured CO2,6h,Mobile/Prefab,118970
0.8212,1.2661,2.4939,36.29,83074,RandomForest,Measured PM2.5,11min,ALL,119252
0.8833,1.3552,2.2314,31.54,8081,RandomForest,Measured PM2.5,11min,Brick First Floor,119252
0.6793,1.5545,3.81,38.07,13011,RandomForest,Measured PM2.5,11min,Brick Second Floor,119252
0.8756,1.2374,1.9656,34.24,16741,RandomForest,Measured PM2.5,11min,Brick Single Story,119252
0.8002,1.3323,2.7972,35.08,16396,RandomForest,Measured PM2.5,11min,Container No Insulation,119252
0.8541,1.2315,2.0652,35.26,7683,RandomForest,Measured PM2.5,11min,Container With Insulation,119252
0.8732,1.0387,1.7096,40.76,21162,RandomForest,Measured PM2.5,11min,Mobile/Prefab,119252
0.7237,1.6518,3.0992,47.86,82994,RandomForest,Measured PM2.5,33min,ALL,119246
0.7653,1.9508,3.1667,46.09,8067,RandomForest,Measured PM2.5,33min,Brick First Floor,119246
0.5878,1.986,4.3211,50.77,12997,RandomForest,Measured PM2.5,33min,Brick Second Floor,119246
0.7812,1.646,2.6075,45.76,16725,RandomForest,Measured PM2.5,33min,Brick Single Story,119246
0.6785,1.7512,3.5463,46.73,16380,RandomForest,Measured PM2.5,33min,Container No Insulation,119246
0.7691,1.5101,2.5845,42.32,7675,RandomForest,Measured PM2.5,33min,Container With Insulation,119246
0.7892,1.3113,2.2029,52.14,21150,RandomForest,Measured PM2.5,33min,Mobile/Prefab,119246
0.5755,2.2035,3.842,70.18,82872,RandomForest,Measured PM2.5,1h,ALL,119237
0.6174,2.6971,4.0482,70.61,8046,RandomForest,Measured PM2.5,1h,Brick First Floor,119237
0.4511,2.7525,4.9901,77.99,12976,RandomForest,Measured PM2.5,1h,Brick Second Floor,119237
0.6421,2.1806,3.3366,67.72,16701,RandomForest,Measured PM2.5,1h,Brick Single Story,119237
0.4995,2.2191,4.4256,64.9,16356,RandomForest,Measured PM2.5,1h,Container No Insulation,119237
0.6553,1.8811,3.159,56.26,7663,RandomForest,Measured PM2.5,1h,Container With Insulation,119237
0.6169,1.8014,2.9633,77.97,21130,RandomForest,Measured PM2.5,1h,Mobile/Prefab,119237
0.0547,3.9242,5.7409,130.31,82464,RandomForest,Measured PM2.5,3h,ALL,119207
-0.1091,5.1251,6.9209,151.22,7976,RandomForest,Measured PM2.5,3h,Brick First Floor,119207
0.0073,4.6231,6.7109,147.36,12906,RandomForest,Measured PM2.5,3h,Brick Second Floor,119207
-0.0322,4.2659,5.6751,143.15,16621,RandomForest,Measured PM2.5,3h,Brick Single Story,119207
0.1639,3.2554,5.73,93.79,16276,RandomForest,Measured PM2.5,3h,Container No Insulation,119207
0.1423,3.3375,4.99,106.41,7623,RandomForest,Measured PM2.5,3h,Container With Insulation,119207
-0.0234,3.5008,4.8482,142.37,21062,RandomForest,Measured PM2.5,3h,Mobile/Prefab,119207
-0.6583,5.2953,7.6258,190.39,81771,RandomForest,Measured PM2.5,6h,ALL,119172
-0.7494,6.378,8.7474,215.43,7857,RandomForest,Measured PM2.5,6h,Brick First Floor,119172
-0.9972,6.8158,9.5523,242.75,12787,RandomForest,Measured PM2.5,6h,Brick Second Floor,119172
-1.5354,6.5684,8.8984,242.54,16485,RandomForest,Measured PM2.5,6h,Brick Single Story,119172
-0.0068,3.8862,6.3108,116.98,16140,RandomForest,Measured PM2.5,6h,Container No Insulation,119172
-0.2203,4.2791,5.9699,140.29,7555,RandomForest,Measured PM2.5,6h,Container With Insulation,119172
-0.5942,4.4113,6.0624,184.27,20947,RandomForest,Measured PM2.5,6h,Mobile/Prefab,119172
0.7797,1.4925,3.023,40.94,83074,RandomForest,Measured PM10,11min,ALL,119252
0.855,1.6192,2.6538,38.56,8081,RandomForest,Measured PM10,11min,Brick First Floor,119252
0.5672,2.0692,5.1006,48.69,13011,RandomForest,Measured PM10,11min,Brick Second Floor,119252
0.856,1.4203,2.238,39.46,16741,RandomForest,Measured PM10,11min,Brick Single Story,119252
0.8013,1.4974,3.0468,37.03,16396,RandomForest,Measured PM10,11min,Container No Insulation,119252
0.8315,1.3448,2.3942,36.09,7683,RandomForest,Measured PM10,11min,Container With Insulation,119252
0.8542,1.1966,1.9886,43.56,21162,RandomForest,Measured PM10,11min,Mobile/Prefab,119252
0.6634,1.9313,3.7346,53.37,82994,RandomForest,Measured PM10,33min,ALL,119246
0.7463,2.1867,3.5131,51.63,8067,RandomForest,Measured PM10,33min,Brick First Floor,119246
0.3514,2.9547,6.2469,73.32,12997,RandomForest,Measured PM10,33min,Brick Second Floor,119246
0.7702,1.7974,2.8288,49.74,16725,RandomForest,Measured PM10,33min,Brick Single Story,119246
0.6961,1.9129,3.7639,47.91,16380,RandomForest,Measured PM10,33min,Container No Insulation,119246
0.7719,1.586,2.7643,42.38,7675,RandomForest,Measured PM10,33min,Container With Insulation,119246
0.7797,1.4503,2.4432,52.81,21150,RandomForest,Measured PM10,33min,Mobile/Prefab,119246
0.5394,2.3841,4.3691,69.52,82872,RandomForest,Measured PM10,1h,ALL,119237
0.5957,2.8913,4.4399,72.33,8046,RandomForest,Measured PM10,1h,Brick First Floor,119237
0.2599,3.5968,6.6777,96.29,12976,RandomForest,Measured PM10,1h,Brick Second Floor,119237
0.6289,2.3103,3.5965,67.41,16701,RandomForest,Measured PM10,1h,Brick Single Story,119237
0.527,2.304,4.6968,61.27,16356,RandomForest,Measured PM10,1h,Container No Insulation,119237
0.6685,1.8997,3.3334,51.91,7663,RandomForest,Measured PM10,1h,Container With Insulation,119237
0.6792,1.7424,2.9405,66.03,21130,RandomForest,Measured PM10,1h,Mobile/Prefab,119237
0.0794,4.071,6.1813,129.58,82464,RandomForest,Measured PM10,3h,ALL,119207
-0.102,5.3605,7.3606,153.94,7976,RandomForest,Measured PM10,3h,Brick First Floor,119207
-0.0194,5.1202,7.8224,151.46,12906,RandomForest,Measured PM10,3h,Brick Second Floor,119207
-0.0257,4.4293,5.9886,145.76,16621,RandomForest,Measured PM10,3h,Brick Single Story,119207
0.1763,3.3768,6.208,93.68,16276,RandomForest,Measured PM10,3h,Container No Insulation,119207
0.1875,3.4151,5.2267,103.45,7623,RandomForest,Measured PM10,3h,Container With Insulation,119207
0.1252,3.4306,4.8597,133.34,21062,RandomForest,Measured PM10,3h,Mobile/Prefab,119207
-0.8366,6.111,8.7566,216.38,81771,RandomForest,Measured PM10,6h,ALL,119172
-0.9603,7.4834,9.8793,251.92,7857,RandomForest,Measured PM10,6h,Brick First Floor,119172
-1.1219,8.208,11.3271,279.47,12787,RandomForest,Measured PM10,6h,Brick Second Floor,119172
-2.0567,7.7944,10.3432,281.62,16485,RandomForest,Measured PM10,6h,Brick Single Story,119172
-0.069,4.3666,7.0979,132.01,16140,RandomForest,Measured PM10,6h,Container No Insulation,119172
-0.3639,4.802,6.7923,159.4,7555,RandomForest,Measured PM10,6h,Container With Insulation,119172
-0.6509,4.8074,6.6892,198.65,20947,RandomForest,Measured PM10,6h,Mobile/Prefab,119172
-39.6151,22.5164,22.7814,97.51,83074,Persistence,Measured T,11min,ALL,119253
-2.8494,6.3069,7.0134,26.06,83074,HistMean,Measured T,11min,ALL,119253
0.9858,0.2583,0.4266,1.09,83074,LightGBM,Measured T,11min,ALL,119253
0.9487,0.2475,0.4189,1.03,8081,LightGBM,Measured T,11min,Brick First Floor,119253
0.9713,0.2688,0.415,1.08,13011,LightGBM,Measured T,11min,Brick Second Floor,119253
0.9798,0.2007,0.3058,0.82,16741,LightGBM,Measured T,11min,Brick Single Story,119253
0.9895,0.285,0.4765,1.26,16396,LightGBM,Measured T,11min,Container No Insulation,119253
0.983,0.2943,0.5033,1.18,7683,LightGBM,Measured T,11min,Container With Insulation,119253
0.9877,0.2678,0.4467,1.15,21162,LightGBM,Measured T,11min,Mobile/Prefab,119253
-39.6892,22.5192,22.7839,97.5,82994,Persistence,Measured T,33min,ALL,119249
-2.8594,6.3107,7.0169,26.07,82994,HistMean,Measured T,33min,ALL,119249
0.9367,0.6157,0.8988,2.54,82994,LightGBM,Measured T,33min,ALL,119249
0.8137,0.5841,0.7981,2.39,8067,LightGBM,Measured T,33min,Brick First Floor,119249
0.8646,0.6394,0.9004,2.55,12997,LightGBM,Measured T,33min,Brick Second Floor,119249
0.8971,0.5108,0.6893,2.05,16725,LightGBM,Measured T,33min,Brick Single Story,119249
0.9556,0.6616,0.9792,2.91,16380,LightGBM,Measured T,33min,Container No Insulation,119249
0.9084,0.8026,1.165,3.16,7675,LightGBM,Measured T,33min,Container With Insulation,119249
0.9496,0.5927,0.9046,2.48,21150,LightGBM,Measured T,33min,Mobile/Prefab,119249
-39.8033,22.523,22.7875,97.5,82872,Persistence,Measured T,1h,ALL,119243
-2.8746,6.3159,7.022,26.09,82872,HistMean,Measured T,1h,ALL,119243
0.8788,0.8666,1.2419,3.61,82872,LightGBM,Measured T,1h,ALL,119243
0.696,0.7325,1.0186,2.98,8046,LightGBM,Measured T,1h,Brick First Floor,119243
0.7149,0.917,1.3046,3.65,12976,LightGBM,Measured T,1h,Brick Second Floor,119243
0.8281,0.6437,0.8894,2.59,16701,LightGBM,Measured T,1h,Brick Single Story,119243
0.9089,1.0078,1.4004,4.48,16356,LightGBM,Measured T,1h,Container No Insulation,119243
0.81,1.2081,1.674,4.79,7663,LightGBM,Measured T,1h,Container With Insulation,119243
0.9107,0.8299,1.204,3.53,21130,LightGBM,Measured T,1h,Mobile/Prefab,119243
-40.29,22.5342,22.7984,97.49,82464,Persistence,Measured T,3h,ALL,119223
-2.9322,6.3305,7.0356,26.12,82464,HistMean,Measured T,3h,ALL,119223
0.5716,1.7239,2.3223,7.19,82464,LightGBM,Measured T,3h,ALL,119223
0.3175,1.2177,1.5194,4.97,7976,LightGBM,Measured T,3h,Brick First Floor,119223
0.3671,1.5065,1.9311,5.98,12906,LightGBM,Measured T,3h,Brick Second Floor,119223
0.5239,1.1672,1.47,4.7,16621,LightGBM,Measured T,3h,Brick Single Story,119223
0.5302,2.4707,3.1518,10.86,16276,LightGBM,Measured T,3h,Container No Insulation,119223
0.4696,2.0871,2.7708,8.35,7623,LightGBM,Measured T,3h,Container With Insulation,119223
0.6408,1.7797,2.4073,7.49,21062,LightGBM,Measured T,3h,Mobile/Prefab,119223
-41.33,22.5537,22.8178,97.46,81771,Persistence,Measured T,6h,ALL,119205
-3.0474,6.3525,7.0557,26.16,81771,HistMean,Measured T,6h,ALL,119205
-0.1108,2.9065,3.6963,12.05,81771,LightGBM,Measured T,6h,ALL,119205
-0.8423,2.1483,2.4723,8.74,7857,LightGBM,Measured T,6h,Brick First Floor,119205
-0.3857,2.3647,2.8204,9.37,12787,LightGBM,Measured T,6h,Brick Second Floor,119205
-0.4981,2.2083,2.5695,8.93,16485,LightGBM,Measured T,6h,Brick Single Story,119205
-0.241,4.0358,5.0387,17.32,16140,LightGBM,Measured T,6h,Container No Insulation,119205
-0.4782,3.6488,4.5277,14.4,7555,LightGBM,Measured T,6h,Container With Insulation,119205
0.1165,2.9331,3.7462,12.48,20947,LightGBM,Measured T,6h,Mobile/Prefab,119205
-39.7918,50.5803,51.196,99.26,83074,Persistence,Measured RH,11min,ALL,119253
-2.7585,13.8941,15.5402,30.17,83074,HistMean,Measured RH,11min,ALL,119253
0.957,0.804,1.6624,1.89,83074,LightGBM,Measured RH,11min,ALL,119253
0.9354,0.7631,1.6877,1.84,8081,LightGBM,Measured RH,11min,Brick First Floor,119253
0.9393,0.691,1.5663,1.72,13011,LightGBM,Measured RH,11min,Brick Second Floor,119253
0.9144,0.7225,1.6305,1.82,16741,LightGBM,Measured RH,11min,Brick Single Story,119253
0.9685,0.9109,1.8991,2.09,16396,LightGBM,Measured RH,11min,Container No Insulation,119253
0.9494,0.7844,1.4462,1.65,7683,LightGBM,Measured RH,11min,Container With Insulation,119253
